ColumnO3,Month
233,11
237,11
241,2
241,2
243,2
246,1
246,12
247,1
247,12
247,12
247,12
248,2
248,12
248,12
250,1
250,1
250,11
250,11
250,11
251,1
251,1
251,1
251,12
252,11
252,12
253,11
253,11
253,12
253,12
253,12
253,12
255,2
255,2
255,12
256,1
256,1
256,12
257,2
257,3
257,3
257,12
258,11
258,11
258,12
258,12
259,12
260,1
260,1
260,3
260,11
260,11
260,11
260,12
260,12
260,12
261,1
261,1
261,2
261,3
261,8
261,10
261,12
261,12
261,12
262,1
262,2
262,7
262,7
262,12
263,1
263,2
263,11
263,11
263,12
263,12
264,1
264,2
264,2
264,2
264,2
264,3
264,3
264,8
264,9
264,11
264,11
264,11
264,11
264,12
265,1
265,2
265,2
265,10
265,10
265,11
266,1
266,8
266,10
266,10
266,11
266,11
267,2
267,2
267,3
267,3
267,8
267,8
267,8
268,3
268,8
268,8
268,10
268,11
269,2
269,2
269,2
269,3
269,7
269,8
269,8
269,9
269,9
269,12
270,2
270,7
270,8
270,11
270,12
271,3
271,8
271,9
272,7
272,8
272,10
272,11
272,12
273,3
273,8
273,9
273,9
273,10
273,10
274,6
274,8
274,8
274,9
274,10
274,10
275,1
275,2
275,7
275,7
275,9
275,10
275,11
275,11
276,1
276,8
276,8
276,8
276,9
276,10
277,1
277,3
277,6
277,7
277,7
277,8
277,9
277,9
277,9
277,10
278,7
278,10
278,10
279,6
279,6
279,7
279,8
279,8
279,9
279,10
279,11
280,2
280,7
280,9
280,9
280,10
280,10
280,11
281,6
281,6
281,6
281,7
281,7
282,2
282,2
282,3
282,7
282,8
282,8
282,9
282,10
282,11
283,6
283,10
283,10
284,9
284,10
285,5
285,5
285,6
285,7
285,9
285,10
286,1
286,4
286,5
287,1
287,5
287,6
287,8
287,10
288,3
288,3
288,3
288,4
288,6
288,7
288,7
289,6
289,7
289,7
289,10
289,10
290,3
290,3
290,5
290,6
290,9
291,3
291,7
291,7
291,7
292,5
292,5
292,6
292,8
293,3
293,3
293,3
293,4
293,5
293,6
293,7
294,4
295,3
295,4
295,4
295,5
295,5
295,6
295,7
295,9
296,3
296,5
296,6
297,4
297,8
298,5
298,5
299,4
299,5
300,4
300,4
300,5
300,5
300,6
301,2
301,3
301,5
301,9
302,1
302,4
302,6
302,6
303,4
303,5
304,5
305,5
305,5
305,6
305,6
306,1
306,2
306,5
306,5
307,4
307,5
307,5
308,4
308,4
308,5
309,4
309,6
310,4
310,5
310,6
311,3
311,4
311,5
311,5
311,6
312,3
313,4
313,4
314,4
314,5
314,6
314,6
315,3
315,4
315,4
315,4
317,4
321,4
321,4
323,4
327,4
344,9
344,9
