ColumnO3,Month
294,7
312,7
309,7
309,7
308,7
308,7
314,7
315,7
296,7
313,7
306,7
282,7
287,7
287,7
278,7
278,7
298,7
297,7
294,8
304,8
290,8
289,8
267,8
272,8
276,8
284,8
288,8
284,8
267,8
262,8
255,8
278,8
285,8
284,8
277,8
270,8
284,8
282,9
271,9
273,9
276,9
268,9
273,9
269,9
281,9
274,9
288,9
286,9
284,9
278,9
289,9
285,9
285,9
277,9
267,9
282,9
281,9
283,9
277,9
275,9
256,12
263,12
257,12
258,12
273,12
278,12
263,12
264,12
259,12
254,12
264,12
261,12
264,12
244,12
232,12
233,12
241,12
248,12
251,12
231,12
236,12
236,12
244,12
231,12
230,12
247,12
257,12
247,12
234,12
235,12
237,1
253,1
272,1
243,1
239,1
278,1
246,1
248,1
251,1
265,1
264,1
274,1
261,1
280,1
261,1
258,1
260,1
270,1
254,1
294,1
256,1
268,1
299,1
272,1
275,1
300,1
278,2
269,2
255,2
267,2
275,2
304,2
276,2
241,2
243,2
240,2
246,2
240,2
266,2
263,2
275,2
270,2
296,2
281,3
280,3
283,3
260,3
269,3
273,3
280,3
279,3
271,3
265,3
263,3
288,3
280,3
272,3
283,3
277,3
282,3
294,3
284,3
284,3
276,3
299,3
305,3
278,3
279,3
274,3
291,3
290,3
308,4
300,4
289,4
287,4
291,4
297,4
288,4
286,4
292,4
284,4
278,4
294,4
276,4
290,4
289,4
298,4
299,4
288,4
280,4
278,4
272,4
277,4
272,4
276,4
276,4
279,4
278,4
283,4
300,5
281,5
288,5
276,5
284,5
278,5
274,5
289,5
283,5
293,5
295,5
300,5
298,5
301,5
295,5
302,5
296,5
295,5
304,5
291,5
298,5
294,5
282,5
280,5
290,5
291,5
296,5
302,5
300,5
294,5
296,6
283,6
282,6
293,6
294,6
313,6
312,6
310,6
302,6
299,6
296,6
295,6
315,6
295,6
293,6
280,6
299,6
302,6
309,6
310,6
297,6
290,6
295,6
307,6
297,6
304,6
300,6
298,6
326,7
306,7
276,7
276,7
281,7
291,7
290,7
287,7
288,7
328,7
302,7
284,7
294,7
296,7
286,7
283,7
286,7
279,7
284,7
277,7
269,7
274,7
285,7
246,10
240,10
257,10
239,10
243,10
240,10
245,10
243,10
252,10
240,10
161,10
236,10
214,10
218,10
223,10
278,10
278,10
291,10
287,10
288,10
282,10
281,10
286,10
287,10
287,10
295,10
279,10
275,10
271,10
266,11
256,11
256,11
262,11
262,11
263,11
252,11
264,11
283,11
279,11
275,11
264,11
265,11
271,11
266,11
272,11
275,11
263,11
258,11
262,11
273,11
263,11
263,11
261,11
263,11
271,11
279,11
279,11
276,11
